REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
New York City,2020,11,X,X
California,2020,12,2944,2.96
District of Columbia,2020,12,X,X
Florida,2020,12,X,X
New York,2020,12,3798,6.69
Texas,2020,12,3838,5.32
New York City,2020,12,X,X
California,2020,13,1736,0.75
District of Columbia,2020,13,X,X
Florida,2020,13,X,X
New York,2020,13,2381,1.72
Texas,2020,13,2101,1.9
New York City,2020,13,X,X
California,2020,14,1162,0.77
District of Columbia,2020,14,X,X
Florida,2020,14,X,X
New York,2020,14,1491,1.01
Texas,2020,14,1364,1.1
New York City,2020,14,X,X
California,2020,15,842,0.36
District of Columbia,2020,15,X,X
Florida,2020,15,X,X
New York,2020,15,894,0
Texas,2020,15,1123,1.25
New York City,2020,15,X,X
California,2020,16,784,0
District of Columbia,2020,16,X,X
Florida,2020,16,X,X
New York,2020,16,547,0
Texas,2020,16,850,0.47
New York City,2020,16,X,X
California,2020,17,681,0.15
District of Columbia,2020,17,X,X
Florida,2020,17,X,X
New York,2020,17,448,0.22
Texas,2020,17,797,0.5
New York City,2020,17,X,X
California,2020,18,470,0
District of Columbia,2020,18,X,X
Florida,2020,18,X,X
New York,2020,18,412,0
Texas,2020,18,964,0.21
New York City,2020,18,X,X
California,2020,19,436,0
District of Columbia,2020,19,X,X
Florida,2020,19,X,X
New York,2020,19,356,0
Texas,2020,19,659,1.06
New York City,2020,19,X,X
California,2020,20,399,0.25
District of Columbia,2020,20,X,X
Florida,2020,20,X,X
New York,2020,20,375,0
Texas,2020,20,671,0.45
New York City,2020,20,X,X
California,2020,21,394,0
District of Columbia,2020,21,X,X
Florida,2020,21,X,X
New York,2020,21,288,0
Texas,2020,21,627,0.64
New York City,2020,21,X,X
California,2020,22,294,0
District of Columbia,2020,22,X,X
Florida,2020,22,X,X
New York,2020,22,278,0
Texas,2020,22,566,0.18
New York City,2020,22,X,X
California,2020,23,318,0
District of Columbia,2020,23,X,X
Florida,2020,23,X,X
New York,2020,23,309,0
Texas,2020,23,564,0.18
New York City,2020,23,X,X
California,2020,24,311,0
District of Columbia,2020,24,X,X
Florida,2020,24,X,X
New York,2020,24,356,0.28
Texas,2020,24,639,0.94
New York City,2020,24,X,X
California,2020,25,209,0
District of Columbia,2020,25,X,X
Florida,2020,25,X,X
New York,2020,25,297,0
Texas,2020,25,640,1.25
New York City,2020,25,X,X
California,2020,26,182,0
District of Columbia,2020,26,X,X
Florida,2020,26,X,X
New York,2020,26,325,0
Texas,2020,26,659,1.52
New York City,2020,26,X,X
California,2020,27,222,0
District of Columbia,2020,27,X,X
Florida,2020,27,X,X
New York,2020,27,301,0
Texas,2020,27,735,0.54
New York City,2020,27,X,X
California,2020,28,289,0
District of Columbia,2020,28,X,X
Florida,2020,28,X,X
New York,2020,28,399,0
Texas,2020,28,659,0.46
New York City,2020,28,X,X
California,2020,29,254,0
District of Columbia,2020,29,X,X
Florida,2020,29,X,X
New York,2020,29,409,0
Texas,2020,29,544,1.65
New York City,2020,29,X,X
California,2020,30,265,0
District of Columbia,2020,30,X,X
Florida,2020,30,X,X
New York,2020,30,430,0
Texas,2020,30,271,1.11
New York City,2020,30,X,X
California,2020,31,217,0
District of Columbia,2020,31,X,X
Florida,2020,31,X,X
New York,2020,31,426,0
Texas,2020,31,479,0.63
New York City,2020,31,X,X
California,2020,32,253,0.79
District of Columbia,2020,32,X,X
Florida,2020,32,X,X
New York,2020,32,395,0
Texas,2020,32,486,0.62
New York City,2020,32,X,X
California,2020,33,251,0.4
District of Columbia,2020,33,X,X
Florida,2020,33,X,X
New York,2020,33,457,0
Texas,2020,33,361,0.55
New York City,2020,33,X,X
California,2020,34,256,0.78
District of Columbia,2020,34,X,X
Florida,2020,34,X,X
New York,2020,34,584,0
Texas,2020,34,441,0.45
New York City,2020,34,X,X
California,2020,35,241,0
District of Columbia,2020,35,X,X
Florida,2020,35,X,X
New York,2020,35,527,0
Texas,2020,35,476,0.42
New York City,2020,35,X,X
California,2020,36,222,0
District of Columbia,2020,36,X,X
Florida,2020,36,X,X
New York,2020,36,544,0
Texas,2020,36,525,1.14
New York City,2020,36,X,X
California,2020,37,237,0
District of Columbia,2020,37,X,X
Florida,2020,37,X,X
New York,2020,37,591,0
Texas,2020,37,602,0.66
New York City,2020,37,X,X
California,2020,38,293,0.34
District of Columbia,2020,38,X,X
Florida,2020,38,X,X
New York,2020,38,673,0.45
Texas,2020,38,692,1.73
New York City,2020,38,X,X
California,2020,39,301,0
District of Columbia,2020,39,X,X
Florida,2020,39,X,X
New York,2020,39,677,0
Texas,2020,39,815,1.72
New York City,2020,39,X,X
California,2020,40,442,0.23
District of Columbia,2020,40,X,X
Florida,2020,40,X,X
New York,2020,40,857,0
Texas,2020,40,1091,1.56
New York City,2020,40,X,X
California,2020,41,623,0.32
District of Columbia,2020,41,X,X
Florida,2020,41,X,X
New York,2020,41,1197,0
Texas,2020,41,1263,1.66
New York City,2020,41,X,X
California,2020,42,874,0.11
District of Columbia,2020,42,X,X
Florida,2020,42,X,X
New York,2020,42,1417,0.28
Texas,2020,42,1254,0.88
New York City,2020,42,X,X
California,2020,43,833,0.12
District of Columbia,2020,43,X,X
Florida,2020,43,X,X
New York,2020,43,1402,0.21
Texas,2020,43,1161,0.95
New York City,2020,43,X,X
California,2020,44,987,0.81
District of Columbia,2020,44,X,X
Florida,2020,44,X,X
New York,2020,44,1694,0
Texas,2020,44,1401,1.14
New York City,2020,44,X,X
California,2020,45,975,0.21
District of Columbia,2020,45,X,X
Florida,2020,45,X,X
New York,2020,45,1229,0.16
Texas,2020,45,1673,0.84
New York City,2020,45,X,X
California,2020,46,4941,0.18
District of Columbia,2020,46,X,X
Florida,2020,46,X,X
New York,2020,46,2278,0.04
Texas,2020,46,1954,1.23
New York City,2020,46,X,X
California,2020,47,6686,0.06
District of Columbia,2020,47,X,X
Florida,2020,47,X,X
New York,2020,47,3648,0.03
Texas,2020,47,2076,1.35
New York City,2020,47,X,X
California,2020,48,5771,0.02
District of Columbia,2020,48,X,X
Florida,2020,48,X,X
New York,2020,48,1888,0.05
Texas,2020,48,1772,1.19
New York City,2020,48,X,X
California,2020,49,7194,0.08
District of Columbia,2020,49,X,X
Florida,2020,49,X,X
New York,2020,49,4546,0
Texas,2020,49,1890,1.9
New York City,2020,49,X,X
California,2020,50,8262,0.1
District of Columbia,2020,50,X,X
Florida,2020,50,X,X
New York,2020,50,3555,0.08
Texas,2020,50,2077,2.17
New York City,2020,50,X,X
California,2020,51,9004,0.08
District of Columbia,2020,51,X,X
Florida,2020,51,X,X
New York,2020,51,3854,0
Texas,2020,51,2181,3.03
New York City,2020,51,X,X
California,2020,52,6942,0.09
District of Columbia,2020,52,X,X
Florida,2020,52,X,X
New York,2020,52,6088,0.03
Texas,2020,52,2137,2.15
New York City,2020,52,X,X
California,2020,53,6729,0.16
District of Columbia,2020,53,X,X
Florida,2020,53,X,X
New York,2020,53,3899,0.05
Texas,2020,53,2471,2.47
New York City,2020,53,X,X
California,2021,1,8420,0.1
District of Columbia,2021,1,X,X
Florida,2021,1,X,X
New York,2021,1,4690,0.04
Texas,2021,1,2572,3.34
New York City,2021,1,X,X
California,2021,2,8086,0.02
District of Columbia,2021,2,X,X
Florida,2021,2,X,X
New York,2021,2,3974,0
Texas,2021,2,2058,1.85
New York City,2021,2,X,X
California,2021,3,6982,0.01
District of Columbia,2021,3,X,X
Florida,2021,3,X,X
New York,2021,3,3710,0.03
Texas,2021,3,2048,2.39
New York City,2021,3,X,X
California,2021,4,6398,0.02
District of Columbia,2021,4,X,X
Florida,2021,4,X,X
New York,2021,4,3016,0
Texas,2021,4,2099,1.38
New York City,2021,4,X,X
California,2021,5,6195,0.06
District of Columbia,2021,5,X,X
Florida,2021,5,X,X
New York,2021,5,3495,0
Texas,2021,5,2024,2.17
New York City,2021,5,X,X
California,2021,6,5761,0.07
District of Columbia,2021,6,X,X
Florida,2021,6,X,X
New York,2021,6,3314,0
Texas,2021,6,1833,0.98
New York City,2021,6,X,X
California,2021,7,5654,0.12
District of Columbia,2021,7,X,X
Florida,2021,7,X,X
New York,2021,7,2927,0
Texas,2021,7,1228,1.14
New York City,2021,7,X,X
California,2021,8,5661,0
District of Columbia,2021,8,X,X
Florida,2021,8,X,X
New York,2021,8,3354,0.03
Texas,2021,8,1118,0.18
New York City,2021,8,X,X
California,2021,9,240,0
District of Columbia,2021,9,X,X
Florida,2021,9,X,X
New York,2021,9,2150,0
Texas,2021,9,953,0.1
New York City,2021,9,X,X
